Depressão do segmento ST,Ascendente,Horizontal,Descendente
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
Flat,0,1,0
Up,1,0,0
Up,1,0,0
Up,1,0,0
Flat,0,1,0
